chain,chain_families,difficulty,error_type,error_message
iteration_tile_axis_1 -> reindexing_spatial_shift_axis_0_shift_1,iteration -> reindexing,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 0], [3, 3], [2, 2]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [3, 3], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [2, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_-1 -> extension_pad_pad_val_9,reindexing -> extension,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""9"", ""9"", ""9""], [""9"", ""1"", ""9""], [""9"", ""4"", ""9""], [""9"", ""4"", ""9""], [""9"", ""9"", ""9""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['9', '1', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['9', '4', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['9', '4', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_1 -> partitioning_crop_quadrant_2,reindexing -> partitioning,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_1 -> partitioning_crop_quadrant_2,reindexing -> partitioning,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
extension_pad_pad_val_0 -> partitioning_crop_quadrant_1,extension -> partitioning,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0], [0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
permutation_transpose,permutation,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""[0]"", ""[0]""], [""[1]"", ""[1]""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['[0]', '[0]'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['[1]', '[1]'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
permutation_transpose -> reindexing_spatial_shift_axis_0_shift_1,permutation -> reindexing,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 0], [1, 1]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [1, 1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_0_shift_1 -> iteration_tile_axis_0,reindexing -> iteration,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""3""], [""1""], [""1""], [""3""], [""1""], [""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['3'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['3'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 5), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
extension_pad_pad_val_9 -> reindexing_spatial_shift_axis_1_shift_1,extension -> reindexing,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""9"", ""9"", ""9""], [""9"", ""9"", ""4""], [""9"", ""9"", ""0""], [""9"", ""9"", ""4""], [""9"", ""9"", ""9""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['9', '9', '4'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['9', '9', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['9', '9', '4'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
permutation_transpose,permutation,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 0, 2], [0, 1, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 0, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [0, 1, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_1 -> reindexing_spatial_shift_axis_0_shift_-1,iteration -> reindexing,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""0"", ""0""], [""3"", ""3""], [""1"", ""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['3', '3'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['1', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_0_shift_-1,reindexing,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[1, 1], [0, 1]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [1, 1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [0, 1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_1,reindexing,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""0"", ""2""], [""2"", ""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['0', '2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['2', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_1,iteration,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 1, 2, 2, 0, 0, 1, 2, 2, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 1, 2, 2, 0, 0, 1, 2, 2, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
partitioning_crop_quadrant_1 -> iteration_tile_axis_1,partitioning -> iteration,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[1, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [1, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
extension_pad_pad_val_1 -> iteration_tile_axis_1,extension -> iteration,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""[1, 1, 1, 1, 1, 1]"", ""[1, 0, 1, 1, 0, 1]"", ""[1, 1, 1, 1, 1, 1]"", ""[1, 0, 1, 1, 0, 1]"", ""[1, 1, 1, 1, 1, 1]"", ""[1, 1, 1, 1, 1, 1]"", ""[1, 0, 1, 1, 0, 1]"", ""[1, 1, 1, 1, 1, 1]"", ""[1, 0, 1, 1, 0, 1]"", ""[1, 1, 1, 1, 1, 1]""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['[1, 1, 1, 1, 1, 1]', '[1, 0, 1, 1, 0, 1]', '[1, 1, 1, 1, 1, 1]', '[1, 0, 1, 1, 0, 1]', '[1, 1, 1, 1, 1, 1]', '[1, 1, 1, 1, 1, 1]', '[1, 0, 1, 1, 0, 1]', '[1, 1, 1, 1, 1, 1]', '[1, 0, 1, 1, 0, 1]', '[1, 1, 1, 1, 1, 1]'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_-1,reindexing,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[1, 2, 0, 0, 2]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [1, 2, 0, 0, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
extension_pad_pad_val_9 -> reindexing_spatial_shift_axis_0_shift_-1,extension -> reindexing,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""9"", ""4"", ""9""], [""9"", ""4"", ""9""], [""9"", ""0"", ""9""], [""9"", ""9"", ""9""], [""9"", ""9"", ""9""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['9', '4', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['9', '4', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['9', '0', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_0_shift_-1 -> extension_pad_pad_val_9,reindexing -> extension,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""9"", ""9"", ""9"", ""9""], [""9"", ""2"", ""2"", ""9""], [""9"", ""2"", ""2"", ""9""], [""9"", ""9"", ""9"", ""9""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['9', '2', '2', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['9', '2', '2', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
partitioning_crop_quadrant_2,partitioning,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""1"", ""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['1', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_1 -> reindexing_spatial_shift_axis_1_shift_1,iteration -> reindexing,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""1"", ""2"", ""1"", ""2"", ""2"", ""2"", ""2"", ""2""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['1', '2', '1', '2', '2', '2', '2', '2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_-1 -> permutation_transpose,reindexing -> permutation,medium,ResponseParsingError,"Post-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [""[[
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'json_invalid', 'loc': (), 'msg': 'Invalid JSON: EOF while parsing a string at line 1 column 16', 'input': '{""answers"": [""[[', 'ctx': {'error': 'EOF while parsing a string at line 1 column 16'}, 'url': 'https://errors.pydantic.dev/2.12/v/json_invalid'}]
---"
iteration_tile_axis_1,iteration,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""0"", ""2"", ""0"", ""2""], [""1"", ""1"", ""1"", ""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['0', '2', '0', '2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['1', '1', '1', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_0_shift_1 -> partitioning_crop_quadrant_2,reindexing -> partitioning,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [""[]
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'json_invalid', 'loc': (), 'msg': 'Invalid JSON: EOF while parsing a string at line 1 column 16', 'input': '{""answers"": [""[]', 'ctx': {'error': 'EOF while parsing a string at line 1 column 16'}, 'url': 'https://errors.pydantic.dev/2.12/v/json_invalid'}]
---"
partitioning_crop_quadrant_3 -> reindexing_spatial_shift_axis_1_shift_-1,partitioning -> reindexing,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""0"", ""2""], [""2"", ""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['0', '2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['2', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
partitioning_crop_quadrant_1 -> extension_pad_pad_val_1,partitioning -> extension,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'json_invalid', 'loc': (), 'msg': 'Invalid JSON: EOF while parsing a string at line 1 column 2', 'input': '{""', 'ctx': {'error': 'EOF while parsing a string at line 1 column 2'}, 'url': 'https://errors.pydantic.dev/2.12/v/json_invalid'}]
---"
partitioning_crop_quadrant_4 -> reindexing_spatial_shift_axis_0_shift_-1,partitioning -> reindexing,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""""], [""""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [''], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [''], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
partitioning_crop_quadrant_2 -> iteration_tile_axis_0,partitioning -> iteration,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
partitioning_crop_quadrant_1 -> iteration_tile_axis_0,partitioning -> iteration,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""1""], [""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_1 -> partitioning_crop_quadrant_4,iteration -> partitioning,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[1], [0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
